job_title,job_url
Projektledare Musk&#xF6;,https://www.saab.com/career/job-opportunities/projektledare-musko
Lyftingenj&#xF6;r/Fixturkonstrukt&#xF6;r,https://www.saab.com/career/job-opportunities/lyftingenjorfixturkonstruktor
Produktionstekniker,https://www.saab.com/career/job-opportunities/produktionstekniker4
"Supervisor, Materials",https://www.saab.com/career/job-opportunities/supervisor-materials2
Senior IT Architect,https://www.saab.com/career/job-opportunities/senior-it-architect
Solutions Architect,https://www.saab.com/career/job-opportunities/solutions-architect1
Mjukvaruutvecklare &#x2013; Computer Vision f&#xF6;r Autonoma Marina System,https://www.saab.com/career/job-opportunities/mjukvaruutvecklare--computer-vision-for-autonoma-marina-system
Junior Business Controller,https://www.saab.com/career/job-opportunities/junior-business-controller
Projektledare Karlskrona,https://www.saab.com/career/job-opportunities/projektledare-karlskrona
F&#xF6;rr&#xE5;dspersonal,https://www.saab.com/career/job-opportunities/forradspersonal
IT-Systemadministrator (m/w/d),https://www.saab.com/career/job-opportunities/it-systemadministrator-mwd
Electrical Equipment Assembler,https://www.saab.com/career/job-opportunities/electrical-equipment-assembler
Business Development and Marketing Executive,https://www.saab.com/career/job-opportunities/business-development-and-marketing-executive
"Head of Strategy and Growth, Land Systems",https://www.saab.com/career/job-opportunities/head-of-strategy-and-growth-land-systems1
Systemingenj&#xF6;r mjukvara,https://www.saab.com/career/job-opportunities/systemingenjor-mjukvara
IT-system Testledare,https://www.saab.com/career/job-opportunities/it-system-testledare
IT-system testare,https://www.saab.com/career/job-opportunities/it-system-testare
ILS-Ingenj&#xF6;r Electronic Warfare Gripen EF,https://www.saab.com/career/job-opportunities/ils-ingenjor-electronic-warfare-gripen-ef
Systems&#xE4;kerhetsingenj&#xF6;r inom Ledningssystem,https://www.saab.com/career/job-opportunities/systemsakerhetsingenjor-inom-ledningssystem
Programledare &#x2013; Expansion J&#xF6;nk&#xF6;ping,https://www.saab.com/career/job-opportunities/programledare--expansion-jonkoping
Flygs&#xE4;kerhetsingenj&#xF6;r inom Ledningssystem,https://www.saab.com/career/job-opportunities/flygsakerhetsingenjor-inom-ledningssystem
Materialplanerare,https://www.saab.com/career/job-opportunities/materialplanerare
Head of Finance Systems and Digitalization,https://www.saab.com/career/job-opportunities/head-of-finance-systems-and-digitalization
Software developer - Radar monitoring,https://www.saab.com/career/job-opportunities/software-developer---radar-monitoring
Systems&#xE4;kerhetsingenj&#xF6;r,https://www.saab.com/career/job-opportunities/systemsakerhetsingenjor2
Elkonstrukt&#xF6;r,https://www.saab.com/career/job-opportunities/elkonstruktor
Forecast Planning Manager till Saab!,https://www.saab.com/career/job-opportunities/forecast-planning-manager-till-saab
Mechanical Engineer,https://www.saab.com/career/job-opportunities/mechanical-engineer
Junior apparatingenj&#xF6;r till Electronic Warfare Gripen,https://www.saab.com/career/job-opportunities/junior-apparatingenjor-till-electronic-warfare-gripen
Site Manager,https://www.saab.com/career/job-opportunities/site-manager1
Vill du bygga flygplansdelar? Nu s&#xF6;ker vi sammanbyggnadsmont&#xF6;rer!,https://www.saab.com/career/job-opportunities/vill-du-bygga-flygplansdelar-nu-soker-vi-sammanbyggnadsmontorer
Junior Systemverifierare,https://www.saab.com/career/job-opportunities/junior-systemverifierare
Mont&#xF6;r till Microwave and Power,https://www.saab.com/career/job-opportunities/montor-till-microwave-and-power
Radars Support Technician,https://www.saab.com/career/job-opportunities/radars-support-technician
Junior Projektledare &#x2013; Saab Underwater Systems,https://www.saab.com/career/job-opportunities/junior-projektledare--saab-underwater-systems
Andon - Komposit,https://www.saab.com/career/job-opportunities/andon---komposit
Saab s&#xF6;ker kapoperat&#xF6;r!,https://www.saab.com/career/job-opportunities/saab-soker-kapoperator
Omr&#xE5;deschef Ground Support Equipment,https://www.saab.com/career/job-opportunities/omradeschef-ground-support-equipment
Projektplanerare,https://www.saab.com/career/job-opportunities/projektplanerare
Business Development Manager - International Collaboration,https://www.saab.com/career/job-opportunities/business-development-manager---international-collaboration
Platform Test &amp; Verification Engineer,https://www.saab.com/career/job-opportunities/platform-test--verification-engineer
Contract Responsible,https://www.saab.com/career/job-opportunities/contract-responsible
Senior Warehouse Specialist,https://www.saab.com/career/job-opportunities/senior-warehouse-specialist
"Head of Indus Planning, Industrialisation",https://www.saab.com/career/job-opportunities/head-of-indus-planning-industrialisation
Senior Project Manager,https://www.saab.com/career/job-opportunities/senior-project-manager
Manufacturing Program Manager,https://www.saab.com/career/job-opportunities/manufacturing-program-manager
IAM Specialist,https://www.saab.com/career/job-opportunities/iam-specialist
Test Engineer,https://www.saab.com/career/job-opportunities/test-engineer
